"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.8530242135482,0.814,0.003,0,"14","AREG"
0,10.3611477500213,0.324,0.002,0,"14","NKG7"
0,10.2927089870698,0.412,0.001,0,"14","SVOPL"
0,11.569109808451,0.556,0.001,0,"15","CNDP1"
0,10.8854475992411,0.253,0.001,0,"15","SLC6A15"
0,10.2961270435971,0.626,0.003,0,"15","KLK6"
0,10.0038100369977,0.273,0.002,0,"15","MOBP"
0,9.20366409107559,0.283,0.001,0,"15","SPOCK3"
0,8.89000089933957,0.535,0.006,0,"15","NKX6-2"
0,8.79288734316063,0.424,0.006,0,"15","ERMN"
0,8.61365454422393,0.303,0.003,0,"15","CARNS1"
0,8.59605479000982,0.343,0.003,0,"15","HHATL"
0,8.33276745920217,0.535,0.005,0,"15","MAG"
0,8.16902418733606,0.485,0.006,0,"15","EDIL3"
1.02841916151699e-190,7.7889295895005,0.253,0.005,3.97031501495251e-186,"15","GJB1"
1.1224190323124e-280,7.32687580687314,0.384,0.008,4.33321091614526e-276,"15","ENPP2"
6.06886950112092e-186,7.02910383724036,0.303,0.008,2.34294775960274e-181,"15","CDH19"
1.09519214131243e-174,7.02228437517849,0.333,0.011,4.22809878075077e-170,"15","EFHD1"
0,6.9190724490125,0.788,0.031,0,"15","CLDN11"
1.36069026879229e-263,6.91844655080215,0.424,0.011,5.25308085169951e-259,"15","CAPN3"
3.61338918076986e-229,6.82202611087828,0.404,0.012,1.39498502712801e-224,"15","MOG"
2.4652769779938e-300,6.57470843460582,0.495,0.014,9.51744830124286e-296,"15","MAP7"
1.30214597354465e-115,6.21333672276472,0.263,0.01,5.02706474546648e-111,"15","CYB5R2"
